1.649999999999999911e+00,3.307489100000000071e-01
1.787438800000000105e+00,3.176245899999999844e-01
1.942905300000000057e+00,3.050708100000000256e-01
2.119374899999999950e+00,2.930587499999999790e-01
2.320409999999999862e+00,2.815611399999999875e-01
2.550294500000000131e+00,2.705522100000000152e-01
2.814202499999999940e+00,2.600076100000000001e-01
3.118412300000000137e+00,2.499043800000000093e-01
3.470577500000000093e+00,2.402208600000000083e-01
3.880075199999999835e+00,2.309366200000000091e-01
4.358451600000000425e+00,2.220324100000000134e-01
4.919999999999999929e+00,2.137788300000000030e-01
4.919999999999999929e+00,2.137788300000000030e-01
5.549362200000000023e+00,2.067158400000000118e-01
6.289745199999999592e+00,1.998633400000000004e-01
7.165068699999999957e+00,1.932162900000000127e-01
8.205286700000000266e+00,1.867697000000000107e-01
9.448124800000000434e+00,1.805186000000000013e-01
1.094137800000000027e+01,1.744580900000000101e-01
1.274597200000000008e+01,1.685832899999999968e-01
1.494006199999999929e+01,1.628894200000000070e-01
1.762457200000000057e+01,1.573717500000000047e-01
2.093071499999999929e+01,1.520256299999999949e-01
2.503029799999999838e+01,1.468464700000000067e-01
3.014992799999999917e+01,1.418297900000000111e-01
3.659077700000000277e+01,1.369711600000000085e-01
4.475628199999999879e+01,1.322662599999999966e-01
5.519129800000000330e+01,1.277108399999999921e-01
6.863794000000000040e+01,1.233007400000000059e-01
8.611592100000000016e+01,1.190318900000000013e-01
1.090392300000000034e+02,1.149003100000000055e-01
1.393872499999999945e+02,1.109021000000000035e-01
1.799581499999999892e+02,1.070334500000000022e-01
2.347481999999999971e+02,1.032906199999999997e-01
3.095254400000000032e+02,9.966999699999999629e-02
4.127073199999999815e+02,9.616800799999999927e-02
5.567186100000000124e+02,9.278118600000000160e-02
7.601179499999999507e+02,8.950614299999999635e-02
1.050969399999999951e+03,8.633957100000000384e-02
1.472257399999999961e+03,8.327824500000000074e-02
2.090699599999999919e+03,8.031901700000000643e-02
3.011290899999999965e+03,7.745881599999999978e-02
4.401650099999999838e+03,7.469464900000000185e-02
6.533391800000000330e+03,7.202359999999999318e-02
9.853518599999999424e+03,6.944282400000000022e-02
1.510961399999999958e+04,6.694955099999999604e-02
2.357306599999999889e+04,6.454108199999999962e-02
3.744401699999999983e+04,6.221478600000000109e-02
6.059931999999999971e+04,5.996810500000000071e-02
1.000000000000000000e+05,5.779854599999999926e-02
